,user.followers_count,user.friends_count,user.listed_count,user.favourites_count,user.verified,created_at,full_text,id,sentiment
83,11958,0,155,7561,False,Wed Jun 09 20:41:53 +0000 2021,"RT @dtradehunter: $NAKD
$NAKD is due for a short squeeze! Come on apes...
$zom $clov $amc $gme $bb",1402727675014389766,0.2942
61,7355,44,216,1762,False,Wed Jun 09 20:42:16 +0000 2021,what time everyone remember numbers don't matter &amp; $GME reverses,1402727769226846215,-0.0191
65,6436,10,180,1899,False,Wed Jun 09 20:42:13 +0000 2021,$GME GameStop Releases First Quarter 2021 Financial Results https://t.co/3jA2eFEDwH,1402727759173017603,0.0
75,5124,77,70,47,False,Wed Jun 09 20:42:02 +0000 2021,"#GameStop $GME Q1 EPS -$0.45 Beats -$0.83 Est, Revenues $1.28B Beat $1.16B Est. Shares🔻7.27% to $280.55 #earnings #stocks #stock #StockMarket #Investment #investing #invest #investor #investors #Traders #Trade #trading https://t.co/YcCtCSZzuD",1402727710661562371,0.0
5,4877,165,67,6084,False,Wed Jun 09 20:43:20 +0000 2021,@Crussian17 😂 I think his $GME price target last year was $10... mine was $18. (Or maybe that PT was just a diversion!),1402728037251125254,0.0
56,4439,259,58,2998,False,Wed Jun 09 20:42:23 +0000 2021,"#Earnings
#GameStop reportó resultados trimestrales mejores de lo esperado y va a contratar nuevos CEO y CFO (ex-ejecutivos de #Amazon)
🔻 $GME -7.5% afterhours https://t.co/GXBp225uT6",1402727801510268928,0.0
91,4121,377,15,1288,False,Wed Jun 09 20:41:44 +0000 2021,Are GME earnings killing AMC? What the hell is going on? This is so unfair. Why even play the stockmarket if it’s corruption goes with out consequences when the steal $ from the retail public.,1402727637135527938,-0.9366
29,3898,3390,59,519,False,Wed Jun 09 20:43:03 +0000 2021,🚀 #GameStop (GME) earnings Q1 2021 https://t.co/EWlPUoSr5f,1402727968615677959,0.2023
17,3460,373,32,10422,False,Wed Jun 09 20:43:12 +0000 2021,RT @Street_Insider: GameStop $GME Plans to File 5M Share At-the-Market Offering https://t.co/8DazQkSbLG https://t.co/OAcAYX54kA,1402728004745375744,0.296
24,2178,797,19,16335,False,Wed Jun 09 20:43:07 +0000 2021,$gme beats and $amc sells off .. good I swear I'm going ALL IN $AMC tomorrow.. keep selling clowns.. https://t.co/jiZAePwTrJ,1402727983719370752,0.2023
66,1874,1854,8,24984,False,Wed Jun 09 20:42:12 +0000 2021,"@InZaneViews This is pure manipulation, you can see it clear as day https://t.co/I8E19l21cD",1402727751677669382,0.1027
9,1747,2332,7,27203,False,Wed Jun 09 20:43:17 +0000 2021,"@gme_posh_pug Chill

They played who the fuck is the new CEO card

Just another amazon veteran lol",1402728027822477315,0.34
81,1659,2144,88,183710,False,Wed Jun 09 20:41:56 +0000 2021,"Who would have thought the $GME execs were just insider suits that would eventually turn on us and short ladder attack us @BagholderQuotes 

https://t.co/V4HpBc52QQ",1402727684921298946,-0.4215
92,1352,22,29,7651,False,Wed Jun 09 20:41:44 +0000 2021,"$GME backtesting triangle breakout.

Totally normal, would like 278 to hold. https://t.co/ZXu1nsbIyO",1402727635541651459,0.6771
26,1268,193,8,22271,False,Wed Jun 09 20:43:06 +0000 2021,"@p0nzInvests @GMEshortsqueeze And $GME doesn't have a long term debts ;)
money to the transformation NETO ;)",1402727979084652546,0.3923
77,1268,193,8,22271,False,Wed Jun 09 20:42:01 +0000 2021,"@GMEshortsqueeze thinking of cashing one of my 5 call options...
getting me to 1800 $GME Stonks :)))",1402727705766989826,0.0
